revision_id,page_title,state,article_quality,url
104730,"Abbeville, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Abbeville,_Alabama"
104761,"Adamsville, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Adamsville,_Alabama"
105188,"Addison, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Addison,_Alabama"
104726,"Akron, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Akron,_Alabama"
105109,"Alabaster, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Alabaster,_Alabama"
104899,"Albertville, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Albertville,_Alabama"
105153,"Alexander City, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Alexander_City,_Alabama"
105086,"Aliceville, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Aliceville,_Alabama"
100811,"Allgood, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Allgood,_Alabama"
100812,"Altoona, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Altoona,_Alabama"
